,"We have already developed essential technological solutions, such as solar panels, batteries, electric vehicles, and heat pumps, to transition away from fossil fuels, and the focus should now be on implementation.","Tackling global warming requires a combination of new technologies, innovations, and systemic changes in our economy, consumer behavior, and lifestyle along with greater cooperation among nations.","Government involvement is crucial in addressing global warming, either through regulation and support for climate-friendly initiatives or as a potential obstacle to progress.","There is skepticism about whether global warming can be stopped or solved given the current global situation, with factors such as the pandemic and lack of cooperation among nations hindering progress.","Embracing a new way of thinking, such as solarpunk, decentralization, and community-based solutions, is essential for addressing climate change and creating a sustainable future."
9190153,Yes,Yes,No,No,Yes
92947608,Yes,No,No,No,No
28634333,No,No,No,No,No
28312389,No,No,No,No,No
91782895,No,No,No,Yes,No
61145487,No,Yes,No,No,No
30520126,No,No,No,No,No
61489654,Yes,Yes,Yes,No,No
95362406,Yes,Yes,No,No,No
29257320,Yes,Yes,No,No,No
37286383,Yes,Yes,No,No,No
20928113,No,No,No,No,No
76748472,Yes,Yes,Yes,No,Yes
65022757,No,No,Yes,No,No
49466974,No,Yes,Yes,No,Yes
95482972,No,No,No,No,Yes
