,id,subject,prompt template,comment,model,prompt,response,time
0,632,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.","City/county leaders should be cautious of ""build it and they will come"" mentality for growth and development.",gpt-4-0314,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""City/county leaders should be cautious of ""build it and they will come"" mentality for growth and development.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-04 18:14:56
1,632,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",The lack of leadership regarding adequate planning and zoning in BG is discouraging. Law enforcement in Bowling Green and Warren county needs more minority representation Downtown at the square and adjacent areas should be a pedestrian mall,gpt-4-0314,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""The lack of leadership regarding adequate planning and zoning in BG is discouraging. Law enforcement in Bowling Green and Warren county needs more minority representation Downtown at the square and adjacent areas should be a pedestrian mall""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-04 18:14:57
2,632,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",Bowling Green needs a stronger separation of church-mosque-temple and state.,gpt-4-0314,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""Bowling Green needs a stronger separation of church-mosque-temple and state.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-04 18:14:58
3,632,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",BG police should improve officer training and should be held accountable for abuse of power.,gpt-4-0314,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""BG police should improve officer training and should be held accountable for abuse of power.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-04 18:14:59
4,632,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",When the city tears up lawns with projects they should be required to do what it takes so that lawns are same quality they were before.,gpt-4-0314,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""When the city tears up lawns with projects they should be required to do what it takes so that lawns are same quality they were before.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-04 18:15:01
5,632,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.","Bowling Green needs Community Enrichment Classes that include woodworking, welding, gardening and general home beautification for hobbyist.",gpt-4-0314,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""Bowling Green needs Community Enrichment Classes that include woodworking, welding, gardening and general home beautification for hobbyist.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-04 18:15:01
6,632,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.","Warren county needs to be ""wet"". The city is wet but the county is dry.",gpt-4-0314,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""Warren county needs to be ""wet"". The city is wet but the county is dry.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-04 18:15:02
7,632,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.","I feel Bowling Green could benefit with an additional ambulance service.  Quicker response, and possibly a lower payment when used.",gpt-4-0314,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""I feel Bowling Green could benefit with an additional ambulance service.  Quicker response, and possibly a lower payment when used.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-04 18:15:04
8,632,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.","Local government, for profit and non profits should work together on housing and economic equality Minimum wage required for businesses to receive tax credits should be raised to a living wage City/County schools should have a minimum one year classroom for immigrant and refugee students so they can learn english, culture and laws",gpt-4-0314,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""Local government, for profit and non profits should work together on housing and economic equality Minimum wage required for businesses to receive tax credits should be raised to a living wage City/County schools should have a minimum one year classroom for immigrant and refugee students so they can learn english, culture and laws""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-04 18:15:05
9,632,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.","Traffic flow on Cavemill Rd during peek hours (3pm - 5pm) The entrance to Natcher Elementary and Cavemill Rd should consider putting a ""red / green"" light there between the hours of 3:30-4:30. The traffic intersection at Scottsville Rd and Pascoe Blvd needs some immediate attention as far as congestion.  It's very unsafe.",gpt-4-0314,"Suppose a person holds the following opinion: ""More parking downtown.  There are too many reserved spaces which should be available in the evening."" Would they agree with this: ""Traffic flow on Cavemill Rd during peek hours (3pm - 5pm) The entrance to Natcher Elementary and Cavemill Rd should consider putting a ""red / green"" light there between the hours of 3:30-4:30. The traffic intersection at Scottsville Rd and Pascoe Blvd needs some immediate attention as far as congestion.  It's very unsafe.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-04 18:15:07
