,id,subject,prompt template,comment,model,prompt,response,time
0,215,agree_disagree_best_guess,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.",It's just going to speed up the adoption of robotics in industries with unskilled or low-skilled workers.,gpt-4-0314,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""It's just going to speed up the adoption of robotics in industries with unskilled or low-skilled workers.""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,2023-08-02 22:04:05
1,215,agree_disagree_best_guess,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.",Reactionary liberal trash. Doesn't solve the problem. It's a systemic problem and this solution is like a band aid on a broken leg.,gpt-4-0314,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""Reactionary liberal trash. Doesn't solve the problem. It's a systemic problem and this solution is like a band aid on a broken leg.""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-02 22:04:06
2,215,agree_disagree_best_guess,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.","Good move. Will boost econy here
",gpt-4-0314,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""Good move. Will boost econy here
""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,2023-08-02 22:04:07
3,215,agree_disagree_best_guess,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.",Something needs to be done to address income inequality and this is a good if imperfect start,gpt-4-0314,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""Something needs to be done to address income inequality and this is a good if imperfect start""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,2023-08-02 22:04:08
4,215,agree_disagree_best_guess,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.","One step towards a world where a basic minimum income will be the way developed nations must function as the need for human workers collapses vs populace that ""needs a job.""",gpt-4-0314,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""One step towards a world where a basic minimum income will be the way developed nations must function as the need for human workers collapses vs populace that ""needs a job.""""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,2023-08-02 22:04:08
5,215,agree_disagree_best_guess,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.",This is something that will impact SMB who cannot afford paying 15$/hour wage,gpt-4-0314,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""This is something that will impact SMB who cannot afford paying 15$/hour wage""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,2023-08-02 22:04:09
6,215,agree_disagree_best_guess,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.",It's so high that it will definitely cost some needy people their jobs.,gpt-4-0314,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""It's so high that it will definitely cost some needy people their jobs.""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-02 22:04:10
7,215,agree_disagree_best_guess,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.",This is cool! I say hike it up to $20,gpt-4-0314,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""This is cool! I say hike it up to $20""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,2023-08-02 22:04:13
8,215,agree_disagree_best_guess,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.",This will cause small businesses to go out of business.,gpt-4-0314,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""This will cause small businesses to go out of business.""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-02 22:04:14
9,215,agree_disagree_best_guess,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.",I agree. The small business will need to make poverty fashionable,gpt-4-0314,"Suppose a person holds the following opinion: ""Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""I agree. The small business will need to make poverty fashionable""?Answer AGREE if they would agree and DISAGREE if they would disagree. If it is not entirely clear from the provided information, provide your best guess. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-02 22:04:15
